车名	评分	购买地点	购买时间	购买价格	油耗+里程	序号	列1	空间	动力	操控	油耗	舒适性	外观	内饰	性价比	购车目的	Attributes	Sentences	Label
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	燃油系统	"['1油耗,表示满意,基本属于正常油耗,主要还是要开的稳,不要急,城市道路不要大脚满意非常满意,除了顿挫,属于商务类型的感觉,开车的视野也比较舒服。']"	positive
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	舒适性	"['还没有异味,皮质的搭配也比较美观舒适']"	positive
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	开关	"['按键的回馈也比较好那是一个高,没话说']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	车身空间	"['后排空间大', '全景天窗够亮。', '我拉了很多行李回家,过磅的时候显示2.', '一开始以为行李多,开起来故意慢慢的,后来开时间长了', '乘坐空间：乘坐空间,一般情况,都是很宽敞的,家里也没那个特别高。', '二是后排空间相当大,外出什么的,比较方便,考虑过大众途观,因为家里人有人已经提了,就考虑了昂科威。']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	外观设计	['外形很喜欢。']	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	内饰	"['后排车门储物放瓶水,很不喜欢。', '内饰算是相当的好了。']"	neutral
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	动力性能	"['最满意的就是动力储备。', '动力储备十分够用,每次开起昂科威,想超车就超车,想加速就加速,到目前为止,从来没有动力不够用的迹象。', '发现这动力一点变化都没有,120码超速妥妥的,还开到过150码,一路超了不少车,150码也不是我开的,我开车向来斯文。', '这动力,不服不行！', '动力就来。', '动力就来。', '标配配置：陡坡辅助很不错,很不会溜车。', '标配配置：陡坡辅助很不错,很不会溜车。', '一是动力充足']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	发动机	"['0T这款发动机参数非常好看', '特别是远程启动,可以提前预热。', '特别是远程启动,可以提前预热。']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	燃油系统	"['城市路段表现：县城油耗相对高啊,应该是堵车的原因吧,跑国道都没高得油耗。', '城市路段表现：县城油耗相对高啊,应该是堵车的原因吧,跑国道都没高得油耗。']"	neutral
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	空调	"['空调：冬天升温挺快的', '空调：冬天升温挺快的']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"		2016/12/1	24.89万元	12.0升/百公里300公里	9574	4.5	5	5	5	3	5	5	5	5	上下班购物自驾游跑长途	灯具	"['车灯设计：日行灯不是很喜欢,还不如将雾灯边框的两条进行改装。', '车灯设计：日行灯不是很喜欢,还不如将雾灯边框的两条进行改装。']"	negative
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	南昌	2018/12/1	20.69万元	11.6升/百公里210公里	10101	4.25	5	5	4	3	5	5	5	5	上下班	动力性能	"['动力和,比起老车骐达', '0的动力强的不止一点点']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	南昌	2018/12/1	20.69万元	11.6升/百公里210公里	10101	4.25	5	5	4	3	5	5	5	5	上下班	车身空间	"['和空间,比起老车骐达', '空间其实也就比骐达宽一些,后备箱比老车大的多！']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	南昌	2018/12/1	20.69万元	11.6升/百公里210公里	10101	4.25	5	5	4	3	5	5	5	5	上下班	传动	['加速只要舍得给油门']	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	南昌	2018/12/1	20.69万元	11.6升/百公里210公里	10101	4.25	5	5	4	3	5	5	5	5	上下班	燃油系统	"['油耗都居高不下！', '这油耗没法下去了！']"	negative
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	南昌	2018/12/1	20.69万元	11.6升/百公里210公里	10101	4.25	5	5	4	3	5	5	5	5	上下班	保养	"['后面优惠一出剩点钱自用！', '优惠力度大！']"	neutral
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	传动	"['现在变速箱改成9速变速箱', '9速变速箱', '之前有很多人说17款6速变速箱顿挫感比较大,但是这款9速的换挡真的很平顺、加速推背感也很强！', '昂科威是多连杆的后独立悬挂、舒适性还是不错的', '9速变速箱']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	舒适性	"['换挡更加平顺了、不说其他的、就是喜欢它的和！', '静音', '噪音声波', '静音效果', '静音效果棒棒的']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	车身空间	"['换挡更加了、不说其他的、就是喜欢它的空间和！', '空间在用界别中属于中等,但也够自己用了、毕竟平实都是自己一个人开！', '副驾驶空间不错！', '乘坐空间：本人180cm、160斤', '拳空间', '放行李：后备箱空间满足个人平实家用,出行需求！', '后备箱、还是蛮大的！', '扶手箱的空间也是棒棒的彩色字体、漂亮！']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	内饰	"['换挡更加了、不说其他的、就是喜欢它的和内饰！', '最满意的是后排中间没有供起来的,纯平地板,就更加喜欢了！', '前排座位', '后排还有拳空间', '后排地板还是纯平的', '后排座椅、带中央扶手！', '要是中间多个头枕就好了！', '座椅舒适性：座椅是全皮的、原来17款是中间反的、还是喜欢17款内饰！', '内饰是深酒红的,个人不喜欢一抹黑的内饰、所以还是正中自己下怀！', '就是要简洁大方、内饰看起来豪华！', '内饰不是喜欢', '内饰豪华的,昂科威正好满足自己！']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	保养	"['同级别中性价比最高！', '听销售', '当时销售说', '机油使用', '这款车在同级别中表现的是相当不错、铜价格的,它的配置比别人高、同配置的它的价格比别人低！', '但是途观L价格有点高、途观丝绸之路自己又不喜欢,所以直接pass了！']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	燃油系统	"['暂时还没、别人说别克油耗高,因为我是正常跑扬州和泰州、油耗也在我的接受范围呢！', '朋友说如果你纯开市区的话估计要11超过、但是一想车还那么大呢、所以油耗的话也可以接受、但是还是想能低点酒更好了！', '、油耗']"	neutral
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	发动机	"['0T涡轮增压发动机', '涡轮增压发动机配备9速变速箱']"	neutral
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	动力性能	"['说马力可以达到280马力', '280马力', '最后说下动力、2.', '动力杠杠的、只要肯给油、加速超车棒棒的！']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	转向	"['嘿嘿昂科威的方向盘还是很轻巧的、只哪里打哪里,没有一点虚伪,而且女性朋友也轻松,等有女朋友、女朋友开起来也不费力,90还没女朋友,有点拖后腿了！', '而且是多功能方向盘、对于我们爱听歌的人来说,棒棒的、大大提升驾驶安全！']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	仪表	"['从提车到现在1个月多点、还没怎么开、开了大概500公里不到、仪表盘上显示9.', '仪表盘就是没有液晶更棒', '中控仪表盘还是不错']"	positive
昂科威                        2018款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	扬州	2018/3/1	23.00万元	9.2升/百公里500公里	10028	4.75	5	5	5	4	5	5	5	5	上下班自驾游跑长途	车身附件	['可以喇叭发出来']	positive
